nyt_id,review_word_count,author_as_listed,assumed_gender,headline,nyt_pdf_endpoint
4fc0499e45c1498b0d226d96,5929,Luis Hernadez de Bledma and Rodrigo Ranjel,m,"AMERICAN HISTORY.; THE EXPLOITS OF HERNANDO DE SOTO IN CENTRAL AMERICA, PERU AND OUR OWN SOUTHERN TERRITORY. Written for THE NEW YORK TIMES BOOK REVIEW by FREDERICK S. DELLENBAUGH, Author of ""Breaking the Wilderness.""",https://query.nytimes.com/gst/abstract.html?res=9E07E1DE1F3BE631A25757C0A9649C946497D6CF
4fc0532945c1498b0d250f6b,965,Lafcadio Hearn,m,A Collected Edition of Short Stories and Papers Written in the Later Years of His Life.,https://query.nytimes.com/gst/abstract.html?res=9A04E1DE1F3BE631A25757C0A9649C946497D6CF
4fc045fd45c1498b0d2164e0,333,Howard R. Garis,m,"Radium Hunters.; ISLE OF BLACK FIRE. A Tale of Adventure for Boys. By Howard R. Garis, Author of ""With Force and Arms,"" &c. 12mo. Pp. 31. Philadelphia: The J.B. Lippincott Company.",https://query.nytimes.com/gst/abstract.html?res=9D07E1DE1F3BE631A25757C0A9649C946497D6CF
4fc0532a45c1498b0d250fe9,1731,Sarah A. Tooley,f,Sarah A. Tooley's Biography of a Great Philanthropist.*,https://query.nytimes.com/gst/abstract.html?res=9A0DE4DA1738EF32A25752C1A9649C946497D6CF
4fc0532a45c1498b0d250fd8,324,John Bunyan,m,"""The Pilgrim's Progress.""; THE PILGRIM'S PROGRESS. From This World to That Which Is to Come. By John Bunyan. With Eight Illustrations in Color, by Gertrud Demain Hammond, R.I. 8vo., pp. 379. New York: The Macmillan Company.",https://query.nytimes.com/gst/abstract.html?res=9E0CE4DA1738EF32A25752C1A9649C946497D6CF
4fc03b9345c1498b0d1e8916,1261,Richard Free,m,The Rev. Richard Free's Varied Experiences on the Isle of Dogs.*,https://query.nytimes.com/gst/abstract.html?res=9E0DE4DA1738EF32A25752C1A9649C946497D6CF
4fc0471145c1498b0d21b380,1872,Prof. Smith,m,"THE BACKWARD RACE.; Prof. Smith's Book on the Negro, His Past and Probable Future in the United States.",https://query.nytimes.com/gst/abstract.html?res=9802E4DA1738EF32A25752C1A9649C946497D6CF
4fc03b9345c1498b0d1e8915,324,Samuel M.Gardenhire,m,"A New York Novel.; THE SILENCE OF MRS. HARROLD. By Samuel M.Gardenhire. Author of ""Lux Crusis."" 12mo. Pp. 461. New York Harper & Brothers. $1.50",https://query.nytimes.com/gst/abstract.html?res=9506E3DA1738EF32A25752C1A9649C946497D6CF
4fc0520845c1498b0d24b887,712,Eden Phillpotts,f,"A Novel by Phillpotts.; THE SECRET WOMAN. By Eden Phillpotts. Author of ""The American Prisoner."" ""My Devon Year,"" &c. Cloth. 12mo. Pp. 385. New York: The Macmillan Company. $1.50.",https://query.nytimes.com/gst/abstract.html?res=9B02E4DA1738EF32A25752C1A9649C946497D6CF
4fc0532a45c1498b0d250fd2,330,Herbert M. Sylvester,m,Casco Bay.,https://query.nytimes.com/gst/abstract.html?res=950DE4DA1738EF32A25752C1A9649C946497D6CF
4fc0532a45c1498b0d250fea,427,Alexander Innes Shand,m,Guns for Sportsmen.,https://query.nytimes.com/gst/abstract.html?res=9C01E3DA1738EF32A25752C1A9649C946497D6CF
4fc03b9345c1498b0d1e891d,433,Philip A. Wilkins,m,The Victoria Cross.,https://query.nytimes.com/gst/abstract.html?res=9C04E3DA1738EF32A25752C1A9649C946497D6CF
4fc045fe45c1498b0d216556,2139,MRS. ELLA CALISTA WILSON,f,PEDAGOGUES AND PARENTS.; A STUDENT OF MODERN EDUCATIONAL METHODS REVIEWS MRS. ELLA CALISTA WILSON'S NEW BOOK.,https://query.nytimes.com/gst/abstract.html?res=9E02E4DA1738EF32A25752C1A9649C946497D6CF
4fc045fe45c1498b0d216565,241,"Lord Macaulay, edited by His Sister, Lady Trevelyan",dual,"Macaulay's Essays.; ESSAYS BY LORD MACAULAY. Edited by His Sister, Lady Trevelyan. In Six Volumes. 16mo. Illustrated. New York: G.P. Putnam's Sons. The Knickerbocker Press.",https://query.nytimes.com/gst/abstract.html?res=9D01E3DA1738EF32A25752C1A9649C946497D6CF
4fc045fe45c1498b0d216555,529,Edward Fraser,m,"Old Sea Fighters.; FAMOUS FIGHTERS OF THE FLEET. Glimpes Through the Cannon Smoke in the Days of the Old Navy. By Edward Fraser, Illustrated, Cloth. Pp. 323. New York: The Macmalan Company. $1.75.",https://query.nytimes.com/gst/abstract.html?res=9A06E3DA1738EF32A25752C1A9649C946497D6CF
4fc0471145c1498b0d21b37d,489,George Henry Needler,m,"The Nibelungenlied.; THE NIBELUNGENLIED. Translated Into Rhymed English Verse in the Meter of the Original. By George Henry Needler. Associate Professor of German in University College, Toronto. Pp. xxxv.-349. 8vo. Cloth. New York: Henry Holt & Co. $1.75.",https://query.nytimes.com/gst/abstract.html?res=9D0CE4DA1738EF32A25752C1A9649C946497D6CF
4fc0520845c1498b0d24b885,487,Allan McIvor,m,"The Freeing of Canada.; THE OVERLORD. The Story of the Peons of Canada. By Allan McIvor, Author of ""The Bride of Glendearg."" 12mo. Pp. 423. New York: William Ritchie. $1.50.",https://query.nytimes.com/gst/abstract.html?res=9D0DE4DA1738EF32A25752C1A9649C946497D6CF
4fc03b9345c1498b0d1e891b,382,"Reuben Gold Thwaites, LL. D.",m,Lewis and Clark Journals.,https://query.nytimes.com/gst/abstract.html?res=9E05E3DA1738EF32A25752C1A9649C946497D6CF
